Instrument Name ,Matching Symbol with TU META,Matching Description with TU META,Type ,Long Finance,Short Finance
Australia 200 - Cash,AUST200, Australia 200,Indices,-4.28%,4.28%
Netherlands 25 - Cash,NT25, Netherlands 25 - Cash,Indices,-3.90%,3.90%
Euro 50 - Cash,EURO50, Euro 50 - Cash,Indices,-3.90%,3.90%
France 40 - Cash,FRANCE40, France 40 - Cash,Indices,-3.90%,3.90%
Germany 30 - Cash,DAX40, Germany 40 - Cash,Indices,-3.90%,3.90%
Germany Mid 60 - Cash,GERMANYMID50, Germany Mid 50 - Cash,Indices,-3.90%,3.90%
Germany Tech 30 - Cash,GERMANYTECH30, Germany Tech 30 - Cash,Indices,-3.90%,3.90%
Hong Kong China H-shares - Cash,HKCHINASHARE, Hong Kong China H Shares Cash,Indices,-4.98%,4.98%
Hong Kong 50 - Cash,HK50, HONG KONG 50,Indices,-4.98%,4.98%
Japan 225 - Cash,NIKKEI, JAPAN 225,Indices,0.01%,-0.01%
US NDAQ 100 - Cash,NDX, US NASDAQ 100,Indices,-5.32%,5.32%
Norway 25 - Cash,NORWAY25, Norway 25 Cash,Indices,-4.44%,4.44%
South Africa 40 - Cash,SAFRICA40, South Africa 40 - Cash,Indices,-8.15%,8.15%
Spain 35 - Cash,SPN35, Spain 35 - Cash,Indices,-3.90%,3.90%
US SPX 500 - Cash,US500, US SPX 500,Indices,-5.32%,5.32%
Sweden 30 - Cash,SWEDEN30,,Indices,-4.08%,4.08%
Switzerland 20 - Cash,SWITZERLAND20, Switzerland 20 Cash,Indices,-1.70%,1.70%
Canada 60 - Cash,CANADA60, Canada 60 - Cash,Indices,-5.40%,5.40%
UK 100 - Cash,UK100, UK 100,Indices,-5.19%,5.19%
US 30 - Cash,US30, US30 CASH,Indices,-5.32%,5.32%
US Small Cap 2000 - Cash,USSMALLCAP2000, US Small Cap 2000 - Cash,Indices,-5.32%,5.32%